category,product_name,mpn,confidence
GPU,Gigabyte GAMING OC,GV-N3070GAMING-OC8GD,high
GPU,MSI GAMING TRIO OC,RTX-5070-TI-16G-GAMING-TRIO-OC-WHITE,high
GPU,Asus PRIME OC,PRIME-RX9070-O16G,high
GPU,MSI GAMING TRIO OC,GEFORCE-RTX-5080-16G-GAMING-TRIO-OC,high
GPU,Gigabyte AORUS MASTER,GV-N5090AORUS-M-32GD,high
GPU,MSI VENTUS 2X PLUS OC,RTX-5060-TI-16G-VENTUS-2X-OC-PLUS,high
GPU,Gigabyte GAMING OC,GV-R906XGAMINGOCICE-16GD,high
GPU,MSI SHADOW 2X OC PLUS,GEFORCE-RTX-5060-TI-16G-SHADOW-2X-OC-PLUS,high
GPU,ASRock Steel Legend,RX9070XT-SL-16G,high
GPU,PowerColor RX7800XT 16G-P,RX7800XT-16G-P,low
GPU,Zotac Twin Edge,ZT-D40700E-10M,high
GPU,Gigabyte GAMING OC,GV-N507TGAMING-OC-16GD,high
GPU,Asus PRIME,PRIME-RTX5070-12G,high
GPU,ASRock Challenger D,RX6600-CLD-8G,high
GPU,MSI VENTUS XS OC,GTX-1660-SUPER-VENTUS-XS-OC,high
GPU,Asus PRIME OC,PRIME-RX9060XT-O16G,high
GPU,PNY ARGB EPIC-X RGB OC,VCG507012TFXXPB1-O,high
GPU,PNY ARGB EPIC-X RGB OC,VCG5070T16TFXXPB1-O,high
GPU,Asus DUAL EVO OC,DUAL-RX7600-O8G-EVO,high
GPU,MSI VENTUS 3X OC,G5080-16V3CW,high
GPU,Sapphire PURE,11348-02-20G,high
GPU,PNY VCNRTXPRO6000BQ-PB,VCNRTXPRO6000BQ-PB,low
GPU,Sapphire PULSE,11350-04-20G,high
GPU,Asus DUAL,DUAL-RX9060XT-8G,high
GPU,XFX Quicksilver,RX-97TQICKB9,high
GPU,NVIDIA Founders Edition,900-1G136-2530-000,high
GPU,Asus PRIME,PRIME-RTX5060-8G,high
GPU,XFX Swift OC,RX-97SWFB3B9,high
GPU,Asus DUAL OC,DUAL-RTX5060TI-O16G-WHITE,high
GPU,Gigabyte WINDFORCE OC,GV-N506TWF2OC-8GD,high
GPU,NVIDIA Founders Edition,900-1G141-2560-000,high
GPU,Asus ROG STRIX GAMING OC,ROG-STRIX-RTX5070TI-O16G-GAMING,high
GPU,Gigabyte GAMING OC,GV-R9070GAMING-OC-16GD,high
GPU,Asus TUF GAMING OC,TUF-RX9070XT-O16G-GAMING,high
GPU,NVIDIA Founders Edition,900-1G133-2518-000,high
GPU,MSI GeForce RTX 3060 Ti GAMING X,RTX-3060-TI-GAMING-X,low
GPU,Gigabyte AORUS MASTER ICE,GV-N5080AORUSM-ICE-16GD,high
GPU,AMD Radeon RX 6950 XT,100-438416,high
GPU,PNY VCQ2000D-PB,VCQ2000DPB,high
GPU,Gigabyte AERO OC SFF,GV-N5080AERO-OC-16GD,high
GPU,Gigabyte WINDFORCE OC Rev 2.0,GV-N3060WF2OC-12GD-REV20,high
GPU,Asus TUF GAMING OC,TUF-RTX4070TIS-O16G-GAMING,high
GPU,Gigabyte EAGLE OC ICE SFF,GV-N507TEAGLEOC-ICE-16GD,high
GPU,Gigabyte AORUS MASTER,GV-N5090AORUSM-ICE-32GD,high
GPU,Asus TUF GAMING OC,TUF-RTX5070TI-O16G-WHITE-GAMING,high
GPU,XFX Swift OC,RX-97SWFT3B7,high
GPU,ASRock Taichi OC,RX9070XT-TC-16GO,high
GPU,Sapphire PULSE,11310-01-20G,high
GPU,NVIDIA Founders Edition,9001G1422510000,high
GPU,ONIX ODYSSEY,8346-00178,high
GPU,Gigabyte GAMING OC,GV-N5090GAMING-OC-32GD,high
GPU,Asus DUAL,DUAL-RX9060XT-16G-WHITE,high
GPU,EVGA FTW3 ULTRA GAMING,10G-P5-3897-KR,high
GPU,Asus ROG Astral LC OC,ROG-ASTRAL-LC-RTX5090-O32G-GAMING,high
GPU,Asus Noctua OC,RTX5080-O16G-NOCTUA,high
GPU,Zotac Twin Edge OC,ZT-B50620H-10M,high
GPU,Asus PRIME OC,PRIME-RX9070XT-O16G-WHITE,high
GPU,Asus TUF GAMING OC,TUF-RTX5090-O32G-GAMING,high
GPU,NVIDIA Founders Edition,900-1G141-2544-000,high
GPU,XFX Swift OC,RX-96TSW16WQ,high
GPU,Asus TUF GAMING OC,TUF-RTX5070-O12G-GAMING,high
GPU,XFX GTS XXX,RX-580P8DFD6,high
GPU,Asus DUAL OC,DUAL-RTX3050-O6G,high
GPU,Gigabyte GAMING OC,GV-N5070GAMING-OC-12GD,high
GPU,MSI SHADOW 2X OC,RTX-5060-8G-SHADOW-2X-OC,high
GPU,PowerColor Hellhound OC,RX9070XT-16G-LOC,high
GPU,MSI GAMING OC,RTX-5050-8G-GAMING-OC,high
GPU,MSI LP OC,RTX-3050-LP-6G-OC,high
GPU,MSI VENTUS 3X OC,RTX-4070-VENTUS-3X-12G-OC,high
GPU,MSI SUPRIM LIQUID SOC,GEFORCE-RTX-5090-32G-SUPRIM-LIQUID-SOC,high
GPU,Gigabyte AERO OC,GV-N5070AERO-OC-12GD,high
GPU,MSI GT 710 2GD3H LP,GT-710-2GD3H-LP,low
GPU,Sapphire PULSE OC,11354-01-20G,high
GPU,MSI VENTUS 2X OC,GEFORCE-RTX-5070-12G-VENTUS-2X-OC,high
GPU,NVIDIA Founders Edition,9001G1332530000,high
GPU,Zotac GAMING SOLID OC,ZT-B50700J-10P,high
GPU,Gigabyte GAMING OC,GV-R78XTGAMING-OC-16GD,high
GPU,Zotac SOLID SFF OC,ZT-B50710J3-10P,high
GPU,Sapphire PURE,11350-02-20G,high
GPU,Gigabyte AORUS ELITE,GV-R9070XTAORUS-E-16GD,high
GPU,Asus DUAL OC V2,DUAL-RTX4060-O8G-V2,high
GPU,MSI GeForce RTX 2060 VENTUS GP OC,RTX-2060-VENTUS-GPOC,high
GPU,Gigabyte GAMING OC,GV-R76GAMING-OC-8GD,high
GPU,Gigabyte AORUS STEALTH ICE,GV-N5090AORUSST-ICE-32GD,high
GPU,Gigabyte OC Low Profile,GV-N5050OC-8GL,high
GPU,Gigabyte GAMING OC,GV-N5060GAMING-OC-8GD,high
GPU,PowerColor Red Devil OC,RX9070XT-16G-EOC,high
GPU,MSI GAMING TRIO OC,G506T-8GTC,high
GPU,NVIDIA Founders Edition,900-1G180-2515-000,high
GPU,MSI GAMING TRIO OC,GEFORCE-RTX-5080-16G-GAMING-TRIO-OC-WHITE,high
GPU,NVIDIA Founders Edition,900-1G136-2560-000,high
GPU,Asus ProArt OC,PROART-RTX5090-O32G,high
GPU,MSI VENTUS 2X BLACK OC,RTX-4060-TI-VENTUS-2X-BLACK-16G-OC,high
GPU,Asus TUF GAMING OC,TUF-GTX1660S-O6G-GAMING,high
GPU,PNY Slim OC,VCG508016DFSXPB1-O,high
GPU,Inno3D X3 OC,N50903-32D7X-17593928,high
GPU,Asus ProArt OC,PROART-RTX5080-O16G,high
GPU,XFX Quicksilver 2,RX-97TQICKBA,high
GPU,PowerColor Red Devil E/OC,RX9070GRE-12G-EOC,high
GPU,MSI VENTUS 2X OC,GEFORCE-RTX-5070-12G-VENTUS-2X-OC-WHITE,high
GPU,Gigabyte AORUS MASTER,GV-N5080AORUS-M-16GD,high
GPU,Sapphire PULSE,11349-03-20G,high
GPU,Zotac GAMING SOLID CORE OC,ZT-B50800J2-10P,high
GPU,MSI VENTUS 3X PZ OC,GEFORCE-RTX-5070-TI-16G-VENTUS-3X-PZ-OC,high
GPU,ASRock Steel Legend OC,RX7700XT-SL-12GO,high
GPU,NVIDIA Founders Edition,900-1G141-2534-000,high
GPU,XFX RX-79TMBABF9,RX-79TMBABF9,low
GPU,MSI VENTUS 3X OC,GEFORCE-RTX-5090-32G-VENTUS-3X-OC,high
GPU,Asus PRIME OC,PRIME-RTX5070-O12G-WHITE,high
GPU,Asus ROG STRIX GAMING OC,ROG-STRIX-RTX4090-O24G-GAMING,high
GPU,Gigabyte GAMING OC,GV-R57XTGAMING-OC-8GD,high
GPU,MSI Radeon RX 6700 XT 12G,RADEON-RX-6700-XT-12G,low
GPU,Asus TUF GAMING OC,TUF-RTX3080-O10G-GAMING,high
GPU,Gigabyte GAMING OC,GV-N307TGAMING-OC-8GD,high
GPU,MSI GAMING TRIO OC,G506T-8GTCW,high
GPU,MSI SUPRIM SOC,GEFORCE-RTX-5090-32G-SUPRIM-SOC,high
GPU,NVIDIA Founders Edition,900-1G136-2510-000,high
GPU,XFX Mercury OC RGB,RX-97TRGBBW9,high
GPU,Asus TUF GAMING OC,TUF-RTX4080S-O16G-GAMING,high
GPU,ASRock Creator,R9700-CT-32G,high
GPU,Gigabyte GAMING OC,GV-N506TGAMING-OC-16GD,high
GPU,Gigabyte GAMING,GVN1080G1GAMING8GD,high
GPU,EVGA XC3 ULTRA GAMING,08G-P5-3755-KR,high
GPU,Gigabyte WINDFORCE OC,GV-N5090WF3OC-32GD,high
GPU,Asus GT1030-2G-CSM,GT1030-2G-CSM,low
GPU,MSI VENTUS 3X OC BLACK,GEFORCE-RTX-5070-TI-16G-VENTUS-3X-OC-BLACK,high
GPU,EVGA KO ULTRA GAMING,06G-P4-2068-KR,high
GPU,Asus PRIME OC,PRIME-RX9060XT-O8G,high
GPU,Gigabyte GAMING OC,GV-R76XTGAMING-OC-16GD,high
GPU,Gigabyte GAMING OC Rev 2.0,GV-N3060GAMING-OC-12GD-REV-20,high
GPU,MSI RX 6600 XT MECH 2X 8G OC,RX6600XT-MECH2X-8GOC,high
GPU,Asus TUF GAMING,TUF-RTX5090-32G-GAMING,high
GPU,MSI GeForce RTX 3070 VENTUS 3X OC,RTX-3070-VENTUS-3X-OC,low
GPU,Gigabyte WINDFORCE OC V2,GV-N3050WF2OCV2-6GD,high
GPU,MSI GTX 1050 Ti 4GT OC,GTX-1050-TI-4GT-OC,low
GPU,NVIDIA 900-5G153-2200-000,900-5G153-2200-000,low
GPU,MSI GeForce RTX 3080 VENTUS 3X 10G OC,RTX-3080-VENTUS-3X-10G-OC,low
GPU,MSI GeForce GTX 1650 SUPER,GTX-1650-SUPER-VENTUS-XS-OC,high
GPU,ONIX LUMI OC,8346-00278,high
GPU,EVGA FTW3 ULTRA GAMING,24G-P5-3987-KR,high
GPU,MSI INSPIRE 3X OC,GEFORCE-RTX-5080-16G-INSPIRE-3X-OC,high
GPU,Gigabyte AORUS MASTER,GV-N507TAORUS-M-16GD,high
GPU,Asus TUF GAMING OC,TUF-RTX3070-O8G-GAMING,high
GPU,Sapphire NITRO+,11322-01-20G,high
GPU,Palit Infinity 3,NE75070019K9-GB2050S,high
GPU,MSI RTX 4070 Ti SUPER 16G VENTUS 3X BLACK OC,RTX-4070-TI-SUPER-16G-VENTUS-3X-BLACK-OC,low
GPU,Gigabyte EAGLE,GV-R66EAGLE-8GD,high
GPU,XFX Swift OC,RX-97SWFB3W9,high
GPU,MSI VENTUS 3X OC,GEFORCE-RTX-5080-16G-VENTUS-3X-OC,high
GPU,Sapphire PULSE,11306-02-20G,high
GPU,PNY Dual Fan OC,VCG5060T16DFXPB1-O,high
GPU,ASRock Phantom Gaming OC,RX7900XTX-PG-24GO,high
GPU,XFX Speedster SWFT 309,RX-67XTYJFDV,high
GPU,MSI GAMING X,RTX-2060-SUPER-GAMING-X,high
GPU,Palit GamingPro,NE75080019T2-GB2031A,high
GPU,MSI VENTUS 3X OC,RTX-5060-TI-16G-VENTUS-3X-OC,high
GPU,XFX Speedster MERC 310 Black Edition,RX-79TMERCB9,high
GPU,XFX Mercury OC Magnetic Air RGB,RX-97TMARGB9,high
GPU,Asus PRIME OC,PRIME-RTX5060TI-O16G,high
GPU,NVIDIA Founders Edition,900-1G143-2515-000,high
GPU,Gigabyte WINDFORCE MAX OC,GV-N5060WF2MAX-OC-8GD,high
GPU,Gigabyte WINDFORCE OC,GV-N4060WF2OC-8GD,high
GPU,Palit GamingPro OC,NE75080S19T2-GB2031A,high
GPU,Palit Infinity 3,NE7506T019T1-GB2061S,high
